 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1KDS = K D S (Kilo Delta Sierra) [-.- -.. ...]
 PU1KDT = K D T (Kilo Delta Tango) [-.- -.. -]
 PU1KDV = K D V (Kilo Delta Victor) [-.- -.. ...-]
 PU1KDY = K D Y (Kilo Delta Yankee) [-.- -.. -.--]
 PU1KEF = K E F (Kilo Echo Foxtrot) [-.- . ..-.]
 PU1KEH = K E H (Kilo Echo Hotel) [-.- . ....]
 PU1KEI = K E I (Kilo Echo India) [-.- . ..]
 PU1KEJ = K E J (Kilo Echo Juliett) [-.- . .---]
 PU1KEN = K E N (Kilo Echo November) [-.- . -.]
 PU1KEO = K E O (Kilo Echo Oscar) [-.- . ---]
 PU1KEQ = K E Q (Kilo Echo Quebec) [-.- . --.-]
 PU1KEV = K E V (Kilo Echo Victor) [-.- . ...-]
 PU1KEW = K E W (Kilo Echo Whiskey) [-.- . .--]
 PU1KEZ = K E Z (Kilo Echo Zulu) [-.- . --..]
 PU1KFC = K F C (Kilo Foxtrot Charlie) [-.- ..-. -.-.]
 PU1KFD = K F D (Kilo Foxtrot Delta) [-.- ..-. -..]
 PU1KFH = K F H (Kilo Foxtrot Hotel) [-.- ..-. ....]
 PU1KFI = K F I (Kilo Foxtrot India) [-.- ..-. ..]
 PU1KFM = K F M (Kilo Foxtrot Mike) [-.- ..-. --]
 PU1KFO = K F O (Kilo Foxtrot Oscar) [-.- ..-. ---]
 PU1KGA = K G A (Kilo Golf Alfa) [-.- --. .-]
 PU1KGE = K G E (Kilo Golf Echo) [-.- --. .]
 PU1KGN = K G N (Kilo Golf November) [-.- --. -.]
 PU1KGO = K G O (Kilo Golf Oscar) [-.- --. ---]
 PU1KGQ = K G Q (Kilo Golf Quebec) [-.- --. --.-]
 PU1KGR = K G R (Kilo Golf Romeo) [-.- --. .-.]
 PU1KGU = K G U (Kilo Golf Uniform) [-.- --. ..-]
 PU1KGV = K G V (Kilo Golf Victor) [-.- --. ...-]
 PU1KGW = K G W (Kilo Golf Whiskey) [-.- --. .--]
 PU1KGY = K G Y (Kilo Golf Yankee) [-.- --. -.--]
 PU1KHA = K H A (Kilo Hotel Alfa) [-.- .... .-]
 PU1KHC = K H C (Kilo Hotel Charlie) [-.- .... -.-.]
 PU1KHD = K H D (Kilo Hotel Delta) [-.- .... -..]
 PU1KHG = K H G (Kilo Hotel Golf) [-.- .... --.]
 PU1KHI = K H I (Kilo Hotel India) [-.- .... ..]
 PU1KHL = K H L (Kilo Hotel Lima) [-.- .... .-..]
 PU1KHM = K H M (Kilo Hotel Mike) [-.- .... --]
 PU1KHN = K H N (Kilo Hotel November) [-.- .... -.]
 PU1KHO = K H O (Kilo Hotel Oscar) [-.- .... ---]
 PU1KHP = K H P (Kilo Hotel Papa) [-.- .... .--.]
 PU1KHQ = K H Q (Kilo Hotel Quebec) [-.- .... --.-]
 PU1KHR = K H R (Kilo Hotel Romeo) [-.- .... .-.]
 PU1KHS = K H S (Kilo Hotel Sierra) [-.- .... ...]
 PU1KHT = K H T (Kilo Hotel Tango) [-.- .... -]
 PU1KHU = K H U (Kilo Hotel Uniform) [-.- .... ..-]
 PU1KHW = K H W (Kilo Hotel Whiskey) [-.- .... .--]
 PU1KHY = K H Y (Kilo Hotel Yankee) [-.- .... -.--]
 PU1KIA = K I A (Kilo India Alfa) [-.- .. .-]
 PU1KIC = K I C (Kilo India Charlie) [-.- .. -.-.]
 PU1KID = K I D (Kilo India Delta) [-.- .. -..]
 PU1KIE = K I E (Kilo India Echo) [-.- .. .]
 PU1KIF = K I F (Kilo India Foxtrot) [-.- .. ..-.]
 PU1KIJ = K I J (Kilo India Juliett) [-.- .. .---]
 PU1KIO = K I O (Kilo India Oscar) [-.- .. ---]
 PU1KIP = K I P (Kilo India Papa) [-.- .. .--.]
 PU1KIQ = K I Q (Kilo India Quebec) [-.- .. --.-]
 PU1KIR = K I R (Kilo India Romeo) [-.- .. .-.]
 PU1KIU = K I U (Kilo India Uniform) [-.- .. ..-]
 PU1KIW = K I W (Kilo India Whiskey) [-.- .. .--]
 PU1KIY = K I Y (Kilo India Yankee) [-.- .. -.--]
 PU1KIZ = K I Z (Kilo India Zulu) [-.- .. --..]
 PU1KJA = K J A (Kilo Juliett Alfa) [-.- .--- .-]
 PU1KJB = K J B (Kilo Juliett Bravo) [-.- .--- -...]
 PU1KJD = K J D (Kilo Juliett Delta) [-.- .--- -..]
 PU1KJE = K J E (Kilo Juliett Echo) [-.- .--- .]
 PU1KJF = K J F (Kilo Juliett Foxtrot) [-.- .--- ..-.]
 PU1KJL = K J L (Kilo Juliett Lima) [-.- .--- .-..]
 PU1KJN = K J N (Kilo Juliett November) [-.- .--- -.]
 PU1KJO = K J O (Kilo Juliett Oscar) [-.- .--- ---]
 PU1KJP = K J P (Kilo Juliett Papa) [-.- .--- .--.]
 PU1KJQ = K J Q (Kilo Juliett Quebec) [-.- .--- --.-]
 PU1KJR = K J R (Kilo Juliett Romeo) [-.- .--- .-.]
 PU1KJS = K J S (Kilo Juliett Sierra) [-.- .--- ...]
 PU1KJV = K J V (Kilo Juliett Victor) [-.- .--- ...-]
 PU1KJW = K J W (Kilo Juliett Whiskey) [-.- .--- .--]
 PU1KJY = K J Y (Kilo Juliett Yankee) [-.- .--- -.--]
 PU1KJZ = K J Z (Kilo Juliett Zulu) [-.- .--- --..]
 PU1KLG = K L G (Kilo Lima Golf) [-.- .-.. --.]
 PU1KLI = K L I (Kilo Lima India) [-.- .-.. ..]
 PU1KLJ = K L J (Kilo Lima Juliett) [-.- .-.. .---]
 PU1KLO = K L O (Kilo Lima Oscar) [-.- .-.. ---]
 PU1KLP = K L P (Kilo Lima Papa) [-.- .-.. .--.]
 PU1KLQ = K L Q (Kilo Lima Quebec) [-.- .-.. --.-]
 PU1KLT = K L T (Kilo Lima Tango) [-.- .-.. -]
 PU1KLU = K L U (Kilo Lima Uniform) [-.- .-.. ..-]
 PU1KLV = K L V (Kilo Lima Victor) [-.- .-.. ...-]
 PU1KLW = K L W (Kilo Lima Whiskey) [-.- .-.. .--]
 PU1KLZ = K L Z (Kilo Lima Zulu) [-.- .-.. --..]
 PU1KMI = K M I (Kilo Mike India) [-.- -- ..]
 PU1KMJ = K M J (Kilo Mike Juliett) [-.- -- .---]
 PU1KMP = K M P (Kilo Mike Papa) [-.- -- .--.]
 PU1KMQ = K M Q (Kilo Mike Quebec) [-.- -- --.-]
 PU1KMR = K M R (Kilo Mike Romeo) [-.- -- .-.]
 PU1KMW = K M W (Kilo Mike Whiskey) [-.- -- .--]
 PU1KNA = K N A (Kilo November Alfa) [-.- -. .-]
 PU1KNB = K N B (Kilo November Bravo) [-.- -. -...]
 PU1KNE = K N E (Kilo November Echo) [-.- -. .]
 PU1KNF = K N F (Kilo November Foxtrot) [-.- -. ..-.]
 PU1KNG = K N G (Kilo November Golf) [-.- -. --.]
 PU1KNH = K N H (Kilo November Hotel) [-.- -. ....]
 PU1KNL = K N L (Kilo November Lima) [-.- -. .-..]
 PU1KNO = K N O (Kilo November Oscar) [-.- -. ---]
 PU1KNQ = K N Q (Kilo November Quebec) [-.- -. --.-]
 PU1KNS = K N S (Kilo November Sierra) [-.- -. ...]
 PU1KNU = K N U (Kilo November Uniform) [-.- -. ..-]
 PU1KNV = K N V (Kilo November Victor) [-.- -. ...-]
 PU1KNW = K N W (Kilo November Whiskey) [-.- -. .--]
 PU1KNY = K N Y (Kilo November Yankee) [-.- -. -.--]
 PU1KNZ = K N Z (Kilo November Zulu) [-.- -. --..]
 PU1KOB = K O B (Kilo Oscar Bravo) [-.- --- -...]
 PU1KOD = K O D (Kilo Oscar Delta) [-.- --- -..]
 PU1KOE = K O E (Kilo Oscar Echo) [-.- --- .]
 PU1KOF = K O F (Kilo Oscar Foxtrot) [-.- --- ..-.]
 PU1KOG = K O G (Kilo Oscar Golf) [-.- --- --.]
 PU1KOH = K O H (Kilo Oscar Hotel) [-.- --- ....]
 PU1KOI = K O I (Kilo Oscar India) [-.- --- ..]
 PU1KOJ = K O J (Kilo Oscar Juliett) [-.- --- .---]
 PU1KOL = K O L (Kilo Oscar Lima) [-.- --- .-..]
 PU1KOP = K O P (Kilo Oscar Papa) [-.- --- .--.]
 PU1KOQ = K O Q (Kilo Oscar Quebec) [-.- --- --.-]
 PU1KOR = K O R (Kilo Oscar Romeo) [-.- --- .-.]
 PU1KOU = K O U (Kilo Oscar Uniform) [-.- --- ..-]
 PU1KOV = K O V (Kilo Oscar Victor) [-.- --- ...-]
 PU1KOW = K O W (Kilo Oscar Whiskey) [-.- --- .--]
