 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1JWX = J W X (Juliett Whiskey X-ray) [.--- .-- -..-]
 PU1JWZ = J W Z (Juliett Whiskey Zulu) [.--- .-- --..]
 PU1JXB = J X B (Juliett X-ray Bravo) [.--- -..- -...]
 PU1JXD = J X D (Juliett X-ray Delta) [.--- -..- -..]
 PU1JXE = J X E (Juliett X-ray Echo) [.--- -..- .]
 PU1JXF = J X F (Juliett X-ray Foxtrot) [.--- -..- ..-.]
 PU1JXH = J X H (Juliett X-ray Hotel) [.--- -..- ....]
 PU1JXI = J X I (Juliett X-ray India) [.--- -..- ..]
 PU1JXK = J X K (Juliett X-ray Kilo) [.--- -..- -.-]
 PU1JXL = J X L (Juliett X-ray Lima) [.--- -..- .-..]
 PU1JXM = J X M (Juliett X-ray Mike) [.--- -..- --]
 PU1JXP = J X P (Juliett X-ray Papa) [.--- -..- .--.]
 PU1JXS = J X S (Juliett X-ray Sierra) [.--- -..- ...]
 PU1JXT = J X T (Juliett X-ray Tango) [.--- -..- -]
 PU1JXU = J X U (Juliett X-ray Uniform) [.--- -..- ..-]
 PU1JXV = J X V (Juliett X-ray Victor) [.--- -..- ...-]
 PU1JXW = J X W (Juliett X-ray Whiskey) [.--- -..- .--]
 PU1JXX = J X X (Juliett X-ray X-ray) [.--- -..- -..-]
 PU1JXY = J X Y (Juliett X-ray Yankee) [.--- -..- -.--]
 PU1JXZ = J X Z (Juliett X-ray Zulu) [.--- -..- --..]
 PU1JYG = J Y G (Juliett Yankee Golf) [.--- -.-- --.]
 PU1JYI = J Y I (Juliett Yankee India) [.--- -.-- ..]
 PU1JYN = J Y N (Juliett Yankee November) [.--- -.-- -.]
 PU1JYQ = J Y Q (Juliett Yankee Quebec) [.--- -.-- --.-]
 PU1JYR = J Y R (Juliett Yankee Romeo) [.--- -.-- .-.]
 PU1JYV = J Y V (Juliett Yankee Victor) [.--- -.-- ...-]
 PU1JYW = J Y W (Juliett Yankee Whiskey) [.--- -.-- .--]
 PU1JZC = J Z C (Juliett Zulu Charlie) [.--- --.. -.-.]
 PU1JZD = J Z D (Juliett Zulu Delta) [.--- --.. -..]
 PU1JZF = J Z F (Juliett Zulu Foxtrot) [.--- --.. ..-.]
 PU1JZG = J Z G (Juliett Zulu Golf) [.--- --.. --.]
 PU1JZH = J Z H (Juliett Zulu Hotel) [.--- --.. ....]
 PU1JZI = J Z I (Juliett Zulu India) [.--- --.. ..]
 PU1JZJ = J Z J (Juliett Zulu Juliett) [.--- --.. .---]
 PU1JZK = J Z K (Juliett Zulu Kilo) [.--- --.. -.-]
 PU1JZL = J Z L (Juliett Zulu Lima) [.--- --.. .-..]
 PU1JZO = J Z O (Juliett Zulu Oscar) [.--- --.. ---]
 PU1JZP = J Z P (Juliett Zulu Papa) [.--- --.. .--.]
 PU1JZQ = J Z Q (Juliett Zulu Quebec) [.--- --.. --.-]
 PU1JZS = J Z S (Juliett Zulu Sierra) [.--- --.. ...]
 PU1JZU = J Z U (Juliett Zulu Uniform) [.--- --.. ..-]
 PU1JZV = J Z V (Juliett Zulu Victor) [.--- --.. ...-]
 PU1JZX = J Z X (Juliett Zulu X-ray) [.--- --.. -..-]
 PU1JZY = J Z Y (Juliett Zulu Yankee) [.--- --.. -.--]
 PU1KAD = K A D (Kilo Alfa Delta) [-.- .- -..]
 PU1KAJ = K A J (Kilo Alfa Juliett) [-.- .- .---]
 PU1KAO = K A O (Kilo Alfa Oscar) [-.- .- ---]
 PU1KAQ = K A Q (Kilo Alfa Quebec) [-.- .- --.-]
 PU1KAS = K A S (Kilo Alfa Sierra) [-.- .- ...]
 PU1KAV = K A V (Kilo Alfa Victor) [-.- .- ...-]
 PU1KAW = K A W (Kilo Alfa Whiskey) [-.- .- .--]
 PU1KAX = K A X (Kilo Alfa X-ray) [-.- .- -..-]
 PU1KAY = K A Y (Kilo Alfa Yankee) [-.- .- -.--]
 PU1KBG = K B G (Kilo Bravo Golf) [-.- -... --.]
 PU1KBI = K B I (Kilo Bravo India) [-.- -... ..]
 PU1KBJ = K B J (Kilo Bravo Juliett) [-.- -... .---]
 PU1KBN = K B N (Kilo Bravo November) [-.- -... -.]
 PU1KBQ = K B Q (Kilo Bravo Quebec) [-.- -... --.-]
 PU1KBT = K B T (Kilo Bravo Tango) [-.- -... -]
 PU1KBU = K B U (Kilo Bravo Uniform) [-.- -... ..-]
 PU1KBV = K B V (Kilo Bravo Victor) [-.- -... ...-]
 PU1KBW = K B W (Kilo Bravo Whiskey) [-.- -... .--]
 PU1KBZ = K B Z (Kilo Bravo Zulu) [-.- -... --..]
 PU1KCC = K C C (Kilo Charlie Charlie) [-.- -.-. -.-.]
 PU1KCD = K C D (Kilo Charlie Delta) [-.- -.-. -..]
 PU1KCG = K C G (Kilo Charlie Golf) [-.- -.-. --.]
 PU1KCH = K C H (Kilo Charlie Hotel) [-.- -.-. ....]
 PU1KCI = K C I (Kilo Charlie India) [-.- -.-. ..]
 PU1KCJ = K C J (Kilo Charlie Juliett) [-.- -.-. .---]
 PU1KCK = K C K (Kilo Charlie Kilo) [-.- -.-. -.-]
 PU1KCN = K C N (Kilo Charlie November) [-.- -.-. -.]
 PU1KCR = K C R (Kilo Charlie Romeo) [-.- -.-. .-.]
 PU1KCU = K C U (Kilo Charlie Uniform) [-.- -.-. ..-]
 PU1KCV = K C V (Kilo Charlie Victor) [-.- -.-. ...-]
 PU1KCW = K C W (Kilo Charlie Whiskey) [-.- -.-. .--]
 PU1KCX = K C X (Kilo Charlie X-ray) [-.- -.-. -..-]
 PU1KCY = K C Y (Kilo Charlie Yankee) [-.- -.-. -.--]
 PU1KCZ = K C Z (Kilo Charlie Zulu) [-.- -.-. --..]
 PU1KDA = K D A (Kilo Delta Alfa) [-.- -.. .-]
 PU1KDD = K D D (Kilo Delta Delta) [-.- -.. -..]
 PU1KDI = K D I (Kilo Delta India) [-.- -.. ..]
 PU1KDN = K D N (Kilo Delta November) [-.- -.. -.]
 PU1KDQ = K D Q (Kilo Delta Quebec) [-.- -.. --.-]
 PU1KDS = K D S (Kilo Delta Sierra) [-.- -.. ...]
 PU1KDT = K D T (Kilo Delta Tango) [-.- -.. -]
 PU1KDV = K D V (Kilo Delta Victor) [-.- -.. ...-]
 PU1KDY = K D Y (Kilo Delta Yankee) [-.- -.. -.--]
 PU1KEF = K E F (Kilo Echo Foxtrot) [-.- . ..-.]
 PU1KEH = K E H (Kilo Echo Hotel) [-.- . ....]
 PU1KEI = K E I (Kilo Echo India) [-.- . ..]
 PU1KEJ = K E J (Kilo Echo Juliett) [-.- . .---]
 PU1KEK = K E K (Kilo Echo Kilo) [-.- . -.-]
 PU1KEN = K E N (Kilo Echo November) [-.- . -.]
 PU1KEO = K E O (Kilo Echo Oscar) [-.- . ---]
 PU1KEQ = K E Q (Kilo Echo Quebec) [-.- . --.-]
 PU1KEV = K E V (Kilo Echo Victor) [-.- . ...-]
 PU1KEW = K E W (Kilo Echo Whiskey) [-.- . .--]
 PU1KEX = K E X (Kilo Echo X-ray) [-.- . -..-]
 PU1KEZ = K E Z (Kilo Echo Zulu) [-.- . --..]
 PU1KFC = K F C (Kilo Foxtrot Charlie) [-.- ..-. -.-.]
 PU1KFD = K F D (Kilo Foxtrot Delta) [-.- ..-. -..]
 PU1KFH = K F H (Kilo Foxtrot Hotel) [-.- ..-. ....]
 PU1KFI = K F I (Kilo Foxtrot India) [-.- ..-. ..]
 PU1KFM = K F M (Kilo Foxtrot Mike) [-.- ..-. --]
 PU1KFO = K F O (Kilo Foxtrot Oscar) [-.- ..-. ---]
 PU1KFX = K F X (Kilo Foxtrot X-ray) [-.- ..-. -..-]
 PU1KGA = K G A (Kilo Golf Alfa) [-.- --. .-]
 PU1KGE = K G E (Kilo Golf Echo) [-.- --. .]
 PU1KGK = K G K (Kilo Golf Kilo) [-.- --. -.-]
 PU1KGN = K G N (Kilo Golf November) [-.- --. -.]
 PU1KGO = K G O (Kilo Golf Oscar) [-.- --. ---]
 PU1KGQ = K G Q (Kilo Golf Quebec) [-.- --. --.-]
 PU1KGR = K G R (Kilo Golf Romeo) [-.- --. .-.]
 PU1KGU = K G U (Kilo Golf Uniform) [-.- --. ..-]
 PU1KGV = K G V (Kilo Golf Victor) [-.- --. ...-]
 PU1KGW = K G W (Kilo Golf Whiskey) [-.- --. .--]
 PU1KGX = K G X (Kilo Golf X-ray) [-.- --. -..-]
 PU1KGY = K G Y (Kilo Golf Yankee) [-.- --. -.--]
 PU1KHA = K H A (Kilo Hotel Alfa) [-.- .... .-]
