CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO
60,U003C,"17,01",6,PRETO 100%,Foliação milonítica
63,U003F,"17,01",6,PRETO 100%,Foliação milonítica horizontal
62,U003E,"17,01",6,PRETO 100%,Foliação milonítica vertical
60,U003C,"17,01",6,PRETO 100%,Foliação tipo C
61,U003D,"17,01",6,PRETO 100%,Foliação tipo C'
61,U003D,"17,01",6,PRETO 100%,Foliação tipo S
64,U0040,"17,01",6,PRETO 100%,Foliação vertical
96,U0060,"17,01",6,PRETO 100%,Fratura
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento P
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento R (Riedel)
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento R' (anti-Riedel)
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento X
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento Y
70,U0046,"14,17",5,PRETO 100%,Fratura horizontal
251,U00FB,"22,68",8,PRETO 100%,Fratura vertical
252,U00FC,"19,84",7,PRETO 100%,Garimpo em atividade
253,U00FD,"19,84",7,PRETO 100%,Garimpo paralisado
182,U00B6,"17,01",6,PRETO 100%,Gouge de falha
96,U0060,"17,01",6,PRETO 100%,Junta
57,U0039,"17,01",6,PRETO 100%,Junta com superfície plumosa
95,U005F,"17,01",6,PRETO 100%,Junta de alívio de carga
96,U0060,"17,01",6,PRETO 100%,Junta de cisalhamento
109,U006D,"17,01",6,PRETO 100%,Junta estiollítica
93,U005D,"17,01",6,PRETO 100%,Junta extensional
71,U0047,"14,17",5,PRETO 100%,Junta extensional horizontal
71,U0047,"14,17",5,PRETO 100%,Junta extensional vertical
70,U0046,"14,17",5,PRETO 100%,Junta horizontal
93,U005D,"17,01",6,PRETO 100%,Junta híbrida
251,U00FB,"22,68",8,PRETO 100%,Junta vertical
97,U0061,"17,01",6,PRETO 100%,Juntas colunares
97,U0061,"17,01",6,PRETO 100%,Juntas de resfriamento
49,U0031,"17,01",6,PRETO 100%,Lineação B (eixo de dobra)
162,U00A2,"17,01",6,PRETO 100%,Lineação B (eixo de dobra) horizontal
164,U00A4,"11,34",4,PRETO 100%,Lineação B (eixo de dobra) vertical
99,U0063,"17,01",6,PRETO 100%,Lineação de estiramento
