CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"TAMANHO
  (points/mm)",,COR,NOMENCLATURA,CÓDIGO UTF-8,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
188,U00BC,7,"2,46",PRETO 100%,Estrutura de escorregamento,,,CPRM_Sedimentary.otf
185,U00B9,7,"2,46",PRETO 100%,Estrutura em chama,,,CPRM_Sedimentary.otf
189,U00BD,7,"2,46",PRETO 100%,Estrutura em pilar,,,CPRM_Sedimentary.otf
190,U00BE,"5,67",2,PRETO 100%,Estrutura em pires,,,CPRM_Sedimentary.otf
191,U00BF,7,"2,46",PRETO 100%,Filme de argila,,,CPRM_Sedimentary.otf
192,U00C0,7,"2,46",PRETO 100%,Geodo,,,CPRM_Sedimentary.otf
193,U00C1,8,"2,82",PRETO 100%,Gradação inversa,,,CPRM_Sedimentary.otf
194,U00C2,8,"2,82",PRETO 100%,Gradação normal,,,CPRM_Sedimentary.otf
195,U00C3,7,"2,46",PRETO 100%,Greta de contração,,,CPRM_Sedimentary.otf
196,U00C4,5,"1,76",PRETO 100%,Imbricação de seixos,,,CPRM_Sedimentary.otf
197,U00C5,"12,76","4,5",PRETO 100%,Intraclastos,,,CPRM_Sedimentary.otf
199,U00C7,6,"2,11",PRETO 100%,Laminação flaser,,,CPRM_Sedimentary.otf
200,U00C8,6,"2,11",PRETO 100%,Laminação linsen,,,CPRM_Sedimentary.otf
201,U00C9,6,"2,11",PRETO 100%,Laminação wavy,,,CPRM_Sedimentary.otf
198,U00C6,6,"2,11",PRETO 100%,Laminação/Estratificação plano-paralela,,l - laminação e - estratificação,CPRM_Sedimentary.otf
202,U00CA,11,"3,88",PRETO 100%,Lineação de partição,,,CPRM_Sedimentary.otf
203,U00CB,8,"2,82",PRETO 100%,Maciço,,,CPRM_Sedimentary.otf
204,U00CC,"7,09","2,5",PRETO 100%,Marca de carga,,,CPRM_Sedimentary.otf
205,U00CD,6,"2,11",PRETO 100%,Marca de chuva,,,CPRM_Sedimentary.otf
206,U00CE,7,"2,46",PRETO 100%,Marca de estria glacial,,,CPRM_Sedimentary.otf
216,U00D8,12,"4,23",PRETO 100%,Marca de sola,,,CPRM_Sedimentary.otf
208,U00D0,7,"2,46",PRETO 100%,Marca ondulada assimétrica,,,CPRM_Sedimentary.otf
209,U00D1,7,"2,46",PRETO 100%,Marca ondulada cavalgante,,,CPRM_Sedimentary.otf
210,U00D2,7,"2,46",PRETO 100%,Marca ondulada cavalgante crítica,,,CPRM_Sedimentary.otf
211,U00D3,7,"2,46",PRETO 100%,Marca ondulada cavalgante em fase,,,CPRM_Sedimentary.otf
212,U00D4,8,"2,83",PRETO 100%,Marca ondulada cavalgante subcrítica,,,CPRM_Sedimentary.otf
213,U00D5,"6,24","2,2",PRETO 100%,Marca ondulada cavalgante supercrítica,,,CPRM_Sedimentary.otf
207,U00CF,"4,5","1,58",PRETO 100%,Marca ondulada de adesão,,,CPRM_Sedimentary.otf
214,U00D6,4,"1,41",PRETO 100%,Marca ondulada de interferência,,,CPRM_Sedimentary.otf
215,U00D7,"5,39","1,9",PRETO 100%,Marca ondulada simétrica,,,CPRM_Sedimentary.otf
217,U00D9,7,"2,46",PRETO 100%,Mud couplet ,,,CPRM_Sedimentary.otf
218,U00DA,"5,67",2,PRETO 100%,Olho de Pássaro (birdseyes),,,CPRM_Sedimentary.otf
219,U00DB,11,"3,88",PRETO 100%,Roseta,,,CPRM_Sedimentary.otf
220,U00DC,7,"2,46",PRETO 100%,Seixo pingado,,,CPRM_Sedimentary.otf
221,U00DD,11,"3,88",PRETO 100%,Tepee,,,CPRM_Sedimentary.otf
222,U00DE,8,"2,83",PRETO 100%,Vulcão de lama,,,CPRM_Sedimentary.otf
