CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"TAMANHO
  (points/mm)",,COR,NOMENCLATURA,CÓDIGO UTF-8,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
103,U0067,16,"5,64",PRETO 100%,Dobra tipo caixa,,,CPRM_Geology.otf
104,U0068,16,"5,64",PRETO 100%,Dobra tipo chevron,,,CPRM_Geology.otf
179,U00B3,16,"5,64",PRETO 100%,Dobra tipo kink,,,CPRM_Geology.otf
101,U0065,16,"5,64",PRETO 100%,Dobra tipo rollover,,,CPRM_Geology.otf
167,U00A7,16,"5,64",PRETO 100%,Dobra vertical,,,CPRM_Geology.otf
49,U0031,"17,01",6,PRETO 100%,Eixo de boundins,,,CPRM_Geology.otf
49,U0031,"17,01",6,PRETO 100%,Eixo de lápis,,,CPRM_Geology.otf
49,U0031,"17,01",6,PRETO 100%,Eixo de mullions,,,CPRM_Geology.otf
49,U0031,"17,01",6,PRETO 100%,Eixo de rods,,,CPRM_Geology.otf
105,U0069,16,"5,64",PRETO 100%,Entelhamentos de cristais,,,CPRM_Geology.otf
180,U00B4,"17,01",6,PRETO 100%,Estrias de deslizamento flexural em dobras,,,CPRM_Geology.otf
247,U00F7,16,"5,64",PRETO 100%,Estrias de falha (slinckenlines),,,CPRM_Geology.otf
181,U00B5,16,"5,64",PRETO 100%,Estrias glaciais,,,CPRM_Geology.otf
107,U006B,16,"5,64",PRETO 100%,Flor negativa,,,CPRM_Geology.otf
108,U006C,16,"5,64",PRETO 100%,Flor positiva,,,CPRM_Geology.otf
61,U003D,"17,01",6,PRETO 100%,Foliação,,,CPRM_Geology.otf
68,U0044,"17,01",6,PRETO 100%,Foliação de borda de intrusão ,,Ortognaissificação,CPRM_Geology.otf
62,U003E,"17,01",6,PRETO 100%,Foliação de transposição,,,CPRM_Geology.otf
63,U003F,"17,01",6,PRETO 100%,Foliação de transposição horizontal,,,CPRM_Geology.otf
62,U003E,"17,01",6,PRETO 100%,Foliação de transposição vertical,,,CPRM_Geology.otf
72,U0048,"17,01",6,PRETO 100%,Foliação horizontal,,,CPRM_Geology.otf
60,U003C,"17,01",6,PRETO 100%,Foliação milonítica,,,CPRM_Geology.otf
63,U003F,"17,01",6,PRETO 100%,Foliação milonítica horizontal,,,CPRM_Geology.otf
62,U003E,"17,01",6,PRETO 100%,Foliação milonítica vertical,,,CPRM_Geology.otf
60,U003C,"17,01",6,PRETO 100%,Foliação tipo C,,,CPRM_Geology.otf
61,U003D,"17,01",6,PRETO 100%,Foliação tipo C',,,CPRM_Geology.otf
61,U003D,"17,01",6,PRETO 100%,Foliação tipo S,,,CPRM_Geology.otf
64,U0040,"17,01",6,PRETO 100%,Foliação vertical,,,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Fratura,,,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento P,,,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento R ,,Riedel,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento R',,anti-Riedel,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento X,,,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Fratura de cisalhamento Y,,,CPRM_Geology.otf
70,U0046,"14,17",5,PRETO 100%,Fratura horizontal,,,CPRM_Geology.otf
251,U00FB,"17,01",6,PRETO 100%,Fratura vertical,,,CPRM_Geology.otf
252,U00FC,13,"4,58",PRETO 100%,Garimpo em atividade,,,CPRM_Geology.otf
253,U00FD,13,"4,58",PRETO 100%,Garimpo paralisado,,,CPRM_Geology.otf
182,U00B6,"17,01",6,PRETO 100%,Gouge de falha,,,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Junta,,,CPRM_Geology.otf
57,U0039,"17,01",6,PRETO 100%,Junta com superfície plumosa,,,CPRM_Geology.otf
95,U005F,"17,01",6,PRETO 100%,Junta de alívio de carga,,,CPRM_Geology.otf
96,U0060,"17,01",6,PRETO 100%,Junta de cisalhamento,,,CPRM_Geology.otf
109,U006D,"17,01",6,PRETO 100%,Junta estiollítica,,,CPRM_Geology.otf
93,U005D,"17,01",6,PRETO 100%,Junta extensional,,,CPRM_Geology.otf
71,U0047,"14,17",5,PRETO 100%,Junta extensional horizontal,,,CPRM_Geology.otf
71,U0047,"14,17",5,PRETO 100%,Junta extensional vertical,,,CPRM_Geology.otf
70,U0046,"14,17",5,PRETO 100%,Junta horizontal,,,CPRM_Geology.otf
93,U005D,"17,01",6,PRETO 100%,Junta híbrida,,,CPRM_Geology.otf
251,U00FB,13,"4,58",PRETO 100%,Junta vertical,,,CPRM_Geology.otf
97,U0061,"17,01",6,PRETO 100%,Juntas colunares,,,CPRM_Geology.otf
97,U0061,"17,01",6,PRETO 100%,Juntas de resfriamento,,,CPRM_Geology.otf
49,U0031,"17,01",6,PRETO 100%,Lineação B (eixo de dobra),,,CPRM_Geology.otf
162,U00A2,"17,01",6,PRETO 100%,Lineação B (eixo de dobra) horizontal,,,CPRM_Geology.otf
164,U00A4,10,"3,53",PRETO 100%,Lineação B (eixo de dobra) vertical,,,CPRM_Geology.otf
99,U0063,"17,01",6,PRETO 100%,Lineação de estiramento,,,CPRM_Geology.otf
125,U007D,"17,01",6,PRETO 100%,Lineação de estiramento com movimetno dextral indicado,,,CPRM_Geology.otf
161,U00A1,"17,01",6,PRETO 100%,Lineação de estiramento horizontal,,,CPRM_Geology.otf
126,U007E,"17,01",6,PRETO 100%,Lineação de estiramento horizontal com movimento sinistral indicado,,,CPRM_Geology.otf
172,U00AC,"11,34",4,PRETO 100%,Lineação de estiramento vertical,,,CPRM_Geology.otf
100,U0064,"17,01",6,PRETO 100%,Lineação de fluxo magnético (minerais e enclaves),,,CPRM_Geology.otf
49,U0031,"17,01",6,PRETO 100%,Lineação de interseção entre acamadamento e clivagem,,,CPRM_Geology.otf
